,Player,norm-average Total Runs Scored per Innings,norm-average Dot Balls as Bowler per Innings,norm-average player of the match,norm-average experience,norm-weighted player value overall,norm-weighted player value as opponent,norm-weighted player value as teammate,experience
5456,L Nakomo,0.0,0.0,0.0,0.5141388174807198,0.07292724552515566,0.07318546342710773,0.05141388174807198,5
5457,L Natapei,0.13387463674260153,0.0,0.0,0.12853470437017994,0.07519954949815369,0.018296365856776933,0.09317825248257891,2
5458,L Neil-Smith,0.6759036537980125,4.13499698383973,1.2048192771084336,2.056555269922879,2.851581150766711,4.3388393742351905,0.9726435024036255,17
5459,L Ngidi,0.7901868802855991,14.247071149633298,13.25301204819277,24.03598971722365,15.44772086718421,21.24900744309064,6.853614714351556,188
5460,L Nou,0.006530470085004951,0.3676540622916468,0.0,0.38560411311053977,0.21392235693133524,0.3688930048596135,0.04247869336205694,4
5461,L Ntanzi,0.0,0.015239546623487948,0.0,0.0,0.0064848915536989534,0.013015706001628298,0.0,1
5462,L Nyarko,0.0,0.1866844461377274,1.2048192771084336,0.5141388174807198,0.6650544895149355,0.7471304873653357,0.41285966488060205,5
5463,L Ostergaard,0.19591410255014854,0.24383274597580717,2.4096385542168672,0.5141388174807198,1.2854275769327104,1.3104420102897232,0.8918539095432212,5
5464,L Paul,3.980321516810518,2.0344794742356416,3.6144578313253013,10.282776349614396,5.556088016499124,4.744813896014376,4.500807894445341,81
5465,L Pemhiwa,0.0032652350425024755,0.0,0.0,0.12853470437017994,0.01962126840852952,0.018296365856776933,0.014812611462519481,2
5466,L Phiri,0.31346256408023765,1.3791789694256595,0.0,4.241645244215938,1.3219203358073877,1.7817014664210002,0.6122420628697365,34
5467,L Piety,0.7901868802855991,0.3847985522430708,2.4096385542168672,1.9280205655526992,1.7988439279563937,1.6320973152293312,1.3898057509916897,16
5468,L Pope,0.11700425568967207,4.035939930787058,2.4096385542168672,5.398457583547558,3.558315046208798,5.244445422919089,1.3329398780336192,43
5469,L Qiao,0.0,0.7010191446804457,0.0,1.5424164524421595,0.5170867480456188,0.8182788663562249,0.15424164524421596,13
5470,L Rajadurai,0.06530470085004951,0.0,0.0,0.2570694087403599,0.0642527633073899,0.036592731713553865,0.0648897613840657,3
5471,L Ramdeen,0.032652350425024755,0.17144489951423944,0.0,0.38560411311053977,0.141545034395386,0.20131579008864917,0.05815182156606883,4
5472,L Ramjit,0.5191723717578937,0.293361272502143,0.0,1.7994858611825193,0.6010031890780057,0.5067014625262217,0.4914520091729881,15
5473,L Rika,0.019591410255014853,0.01904943327935994,0.0,0.12853470437017994,0.034674667986856235,0.03456599835881231,0.024608316590026907,2
5474,L Ronchi,16.43392796891496,0.05143346985427183,16.867469879518072,30.334190231362467,18.495353727477426,11.564907105810793,17.954016768340644,237
5475,L Samani,0.006530470085004951,0.015239546623487948,0.0,0.2570694087403599,0.04572742837075799,0.04960843771518216,0.029625222925038962,3
5476,L Sanogo,0.07510040597755695,0.17525478617011142,0.0,1.1568123393316196,0.2706200669256721,0.3143479117297179,0.16074147751969614,10
5477,L Savident,0.30693209399523275,0.27431183922278307,0.0,0.12853470437017994,0.26556881990848685,0.2525790738860863,0.19701272683415763,2
5478,L Schuld,0.19591410255014854,0.0,0.0,0.0,0.08336742163443622,0.0,0.1175484615300891,1
5479,L Scott,1.174940409460474,3.1209321522684697,0.0,2.570694087403599,2.192660930695787,3.031435442052334,0.9620336544166443,21
5480,L Selemela,0.0,0.01904943327935994,0.0,0.0,0.008106114442123693,0.016269632502035378,0.0,1
5481,L Sematimba,0.19591410255014854,0.0,0.0,1.0282776349614395,0.22922191268474754,0.14637092685421546,0.22037622502623308,9
5482,L Senokwane,1.022018568303275,0.0,0.0,2.185089974293059,0.7448408430082206,0.31103821956520783,0.831720138411271,18
5483,L Shafeeg,0.15673128204011882,0.5486236784455661,0.0,2.6992287917737783,0.6830180722477784,0.8527890990509344,0.3639616484014491,22
5484,L Shetty,0.026121880340019804,0.07619773311743976,0.0,0.12853470437017994,0.06177192536770852,0.08337489586491843,0.028526598641029875,2
5485,L Siaka,5.6308978307955195,0.899133250785789,2.4096385542168672,14.781491002570693,5.90076019890682,3.9010139784619797,5.579579364999441,116
5486,L Sipamla,0.15836389956137006,2.1348064895069374,4.8192771084337345,6.555269922879177,3.9563855612421035,4.814408642763513,2.1963284645548597,52
5487,L Skatulla,0.0,0.0,0.0,0.12853470437017994,0.018231811381288914,0.018296365856776933,0.012853470437017995,2
5488,L Slebsager,0.029387115382522283,0.4838556052957424,0.0,0.5141388174807198,0.2913276656002629,0.4864341289788063,0.06904615097758535,5
5489,L Sormus,0.21877074784766587,0.4381369654252786,0.0,0.8997429305912595,0.4071569326629878,0.5022761085442522,0.2212367417677255,8
5490,L Spragg,0.0,0.026669206591103917,0.0,0.0,0.01134856021897317,0.02277748550284953,0.0,1
5491,L Sreekumar,0.44243934825908554,0.04952852652633584,0.0,0.6426735218508998,0.30050638164706805,0.13378287378917667,0.3297309611405413,6
5492,L Stubbs,0.006530470085004951,0.0,0.0,0.2570694087403599,0.03924253681705904,0.036592731713553865,0.029625222925038962,3
5493,L Tastuki,0.1077527564025817,0.5638632250690542,0.0,0.8997429305912595,0.41341574905482364,0.6096556830576857,0.154625946900675,8
5494,L Taylor,0.15673128204011882,0.28955138584627105,0.0,1.0282776349614395,0.3357613678781404,0.3936693408851531,0.19686653272021526,9
5495,L Thareja,0.013060940170009902,0.0,0.0,0.0,0.0055578281089624145,0.0,0.007836564102005941,1
5496,L Thobela,0.0,0.034288979902847884,0.0,0.0,0.014591005995822645,0.029285338503663674,0.0,1
5497,L Tipton,0.045713290595034664,0.026669206591103917,0.0,0.0,0.030800958600341627,0.02277748550284953,0.027427974357020803,1
5498,L Trevaskis,5.905721780206146,11.022637076546973,2.4096385542168672,18.123393316195372,10.799592679639018,13.022944523403181,6.0786639660082855,142
5499,L Tryb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5500,L Tshuma,0.871817756348161,3.2669778074102296,2.4096385542168672,7.969151670951155,3.916930603651303,4.9536219080557995,2.0428973871690723,63
5501,L Tucker,12.58258323628329,0.0,6.024096385542169,24.678663239074552,11.418217051963978,6.085415371592578,11.824645181340077,193
5502,L Tywaku,0.026121880340019804,0.0,0.0,0.12853470437017994,0.02934746759921375,0.018296365856776933,0.028526598641029875,2
5503,L Udeh,0.15346604699761637,1.0210496237736926,2.4096385542168672,1.7994858611825193,1.7804122186301188,2.157206674940536,0.9949197805818819,15
5504,L Ufitinema,0.026121880340019804,0.0,0.0,0.0,0.011115656217924829,0.0,0.015673128204011882,1
5505,L Vincent,5.81919305157983,0.05587833761945581,6.024096385542169,8.997429305912597,6.3396853433859235,3.9009829924050963,6.1984876772018085,71
5506,L Vua,0.0032652350425024755,0.0,0.0,0.12853470437017994,0.01962126840852952,0.018296365856776933,0.014812611462519481,2
5507,L Vuadreu,0.0,0.06476807314982379,0.0,0.0,0.027560789103220552,0.05531675050692027,0.0,1
5508,L Ward,0.1502008119551139,0.007619773311743974,0.0,0.5141388174807198,0.14008471455507293,0.07969331642792186,0.14153436892114032,5
5509,L Winfield,6.051568945437922,0.0,4.8192771084337345,14.395886889460153,6.667839188351482,4.107203477632142,6.516313188738889,113
5510,L Winfield-Hill,12.242454586022616,0.0,6.024096385542169,17.99485861182519,10.325427753132725,5.134004347040177,10.95218752845874,141
5511,L Wolvaardt,30.34165242661384,0.0,24.096385542168676,39.84575835475578,28.816905826801026,15.961925923966477,29.41848295409449,311
